model,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
lr,0.09,0.12446235648728282,0.03742712931403774,0.9889271653543307,0.07212461640615186,4019,103363,10681,45
lr,0.1,0.14884681816642395,0.038370245592542256,0.9864665354330708,0.07386730049932748,4009,100473,13571,55
lr,0.11,0.17393402648423475,0.03940847873419966,0.984251968503937,0.07578269312745702,4000,97501,16543,64
lr,0.12,0.20034205980966574,0.040573787157903295,0.9820374015748031,0.07792791033701721,3991,94373,19671,73
lr,0.13,0.22553087005113964,0.041695068111033046,0.9783464566929134,0.07998149321585549,3976,91383,22661,88
lr,0.14,0.25068581298472586,0.04287756074321105,0.9744094488188977,0.0821406347230865,3960,88396,25648,104
lr,0.15,0.27365631455955564,0.04388011385834682,0.9672736220472441,0.08395177738149902,3931,85654,28390,133
lr,0.16,0.2945270430453483,0.0449754282827355,0.9638287401574803,0.08594058537013473,3917,83175,30869,147
lr,0.17,0.3148812950858536,0.045951885811513375,0.9569389763779528,0.08769279336159466,3889,80743,33301,175
lr,0.18,0.33454126731466116,0.047116155846681086,0.953986220472441,0.08979733642154025,3877,78409,35635,187
lr,0.19,0.35348155925085517,0.04818448846947066,0.9485728346456693,0.09171038075866253,3855,76150,37894,209
lr,0.2,0.37110949300640095,0.049217375672517626,0.9431594488188977,0.09355283550760896,3833,74046,39998,231
lr,0.21,0.3881024147390524,0.0501991611490675,0.9365157480314961,0.0952905535665106,3806,72012,42032,258
lr,0.22,0.40449419175669726,0.051174383008696124,0.9296259842519685,0.09700860187443831,3778,70048,43996,286
lr,0.23,0.42142784570054526,0.052312621900250766,0.9239665354330708,0.09901903908021728,3755,68025,46019,309
lr,0.24,0.43821756358587055,0.053414973400060226,0.9165846456692913,0.10094714163764719,3725,66012,48032,339
lr,0.25,0.4548464117587293,0.05464747139165744,0.9106791338582677,0.10310771845268774,3701,64024,50020,363
lr,0.26,0.4720256036847631,0.05606494455952236,0.905757874015748,0.10559380378657486,3681,61975,52069,383
lr,0.27,0.48964507061333695,0.057468549745721347,0.8981299212598425,0.10802491972120691,3650,59863,54181,414
lr,0.28,0.5081874216818505,0.05904631307442415,0.8900098425196851,0.110745395814516,3617,57640,56404,447
lr,0.29,0.5261963626511329,0.0604417942810679,0.8779527559055118,0.11309750221884114,3568,55464,58580,496
lr,0.3,0.5448149151623938,0.06217954365254163,0.8683562992125984,0.11604926092175144,3529,53226,60818,535
lr,0.31,0.5641108138314085,0.06426891126957289,0.8604822834645669,0.1196046241192968,3497,50915,63129,567
lr,0.32,0.5827293663426695,0.06629452724866203,0.8503937007874016,0.12300026692766261,3456,48675,65369,608
lr,0.33,0.6019913977037965,0.06857544705645971,0.8398129921259843,0.1267971913660512,3413,46357,67687,651
lr,0.34,0.6210840925254851,0.07119822952892824,0.8312007874015748,0.13116154458444157,3378,44067,69977,686
lr,0.35000000000000003,0.6389660310901887,0.0736688548504741,0.8201279527559056,0.1351937858721885,3333,41910,72134,731
lr,0.36,0.6563822941714363,0.076196444320661,0.8078248031496063,0.1392576882290562,3283,39803,74241,781
lr,0.37,0.67268093609239,0.07906456087411481,0.7994586614173228,0.1438979560201076,3249,37844,76200,815
lr,0.38,0.6883445659904495,0.08200362531593862,0.7903543307086615,0.14859019730298612,3212,35957,78087,852
lr,0.39,0.702763572323636,0.08482238390755403,0.7802657480314961,0.15301100173711638,3171,34213,79831,893
lr,0.4,0.7170979103871034,0.0878528296587558,0.7696850393700787,0.15770500894905343,3128,32477,81567,936
lr,0.41000000000000003,0.7302638263284451,0.09090373859287607,0.7598425196850394,0.162381027501709,3088,30882,83162,976
lr,0.42,0.7428201307278084,0.0939033801512579,0.7485236220472441,0.16687237719081707,3042,29353,84691,1022
lr,0.43,0.7548853591628002,0.09713138638865505,0.7381889763779528,0.17167381974248927,3000,27886,86158,1064
lr,0.44,0.765494293358621,0.10010491048766455,0.7278543307086615,0.17600333204414956,2958,26591,87453,1106
lr,0.45,0.7763995664984591,0.10354494162733757,0.718011811023622,0.18098930066677005,2918,25263,88781,1146
lr,0.46,0.7863057540556101,0.10669044169545674,0.7066929133858267,0.18539198915534327,2872,24047,89997,1192
lr,0.47000000000000003,0.7958309343990246,0.11001322648408932,0.6958661417322834,0.18998992274101448,2828,22878,91166,1236
